流水号,流程类型,工作名称/文号,发起部门,发起人,开始时间,结束时间,公共附件,状态,操作
816,发交费通知书及相关函件,qe-我去额外企鹅-发交费通知书及相关函件（2026年06月10日20:21）项目负责人,研发部,项目负责人,2026-06-10 20:21:10,,,执行中,流程图 点评 更多 催办 关注 结束 删除
811,发交费通知书及相关函件,00-00-发交费通知书及相关函件（2026年03月03日14:42）项目负责人,研发部,项目负责人,2026-03-03 14:42:54,,,执行中,流程图 点评 更多 催办 关注 结束 删除
801,发交费通知书及相关函件,1111-111-发交费通知书及相关函件（2026年02月28日14:28）项目负责人,研发部,项目负责人,2026-02-28 14:28:29,2026-03-03 13:44:49,,已结束,流程图 点评 更多 恢复执行 编辑 删除
793,发交费通知书及相关函件,诉（2025）-某某法院-发交费通知书及相关函件（2026年02月27日13:40）项目负责人,研发部,项目负责人,2026-02-27 13:40:09,,,执行中,流程图 点评 更多 催办 关注 结束 删除
784,发交费通知书及相关函件,（2026）京民初 0001号-北京市人民法院-发交费通知书及相关函件（2026年02月09日16:04）项目负责人,研发部,项目负责人,2026-02-09 16:04:48,,,执行中,流程图 点评 更多 催办 关注 结束 删除
751,发交费通知书及相关函件,2025内12121-法院-发交费通知书及相关函件（2026年01月22日15:46）项目负责人,研发部,项目负责人,2026-01-22 15:46:38,,,执行中,流程图 点评 更多 催办 关注 结束 删除
739,发交费通知书及相关函件,2025内01213-委托人-发交费通知书及相关函件（2026年01月21日15:21）项目负责人,研发部,项目负责人,2026-01-21 15:21:42,2026-01-22 11:36:17,,已结束,流程图 点评 更多 恢复执行 编辑 删除
707,发交费通知书及相关函件,as-qaw-发交费通知书及相关函件（2025年11月27日21:05）项目负责人,研发部,项目负责人,2025-11-27 21:05:17,,,执行中,流程图 点评 更多 催办 关注 结束 删除
684,发交费通知书及相关函件,{案件号}|[2]-{委托人}|[2]-发交费通知书及相关函件（2025年11月05日10:19）项目负责人,研发部,项目负责人,2025-11-05 10:19:45,,,执行中,流程图 点评 更多 催办 关注 结束 删除
683,发交费通知书及相关函件,{案件号}|[2]-{委托人}|[2]-发交费通知书及相关函件（2025年11月05日10:03）项目负责人,研发部,项目负责人,2025-11-05 10:03:09,,,执行中,流程图 点评 更多 催办 关注 结束 删除
679,发交费通知书及相关函件,test123-78989-发交费通知书及相关函件（2025年11月03日20:06）项目负责人,研发部,项目负责人,2025-11-03 20:06:50,,,执行中,流程图 点评 更多 催办 关注 结束 删除
665,发交费通知书及相关函件,{案件号}|[2]-{委托人}|[2]-发交费通知书及相关函件（2025年10月30日22:13）项目负责人,研发部,项目负责人,2025-10-30 22:13:23,,,执行中,流程图 点评 更多 催办 关注 结束 删除
640,发交费通知书及相关函件,123-张三1-发交费通知书及相关函件（2025年10月22日20:46）项目负责人,研发部,项目负责人,2025-10-22 20:46:20,,,执行中,流程图 点评 更多 催办 关注 结束 删除
621,发交费通知书及相关函件,（2025）京民初 4455号-某某法院-发交费通知书及相关函件（2025年10月16日15:57）项目负责人,研发部,项目负责人,2025-10-16 15:57:40,2025-10-16 16:47:15,,已结束,流程图 点评 更多 恢复执行 编辑 删除
607,发交费通知书及相关函件,（2025）京民初 4455号-某某法院-发交费通知书及相关函件（2025年10月16日13:45）项目负责人,研发部,项目负责人,2025-10-16 13:45:07,2025-10-16 15:52:42,,已结束,流程图 点评 更多 恢复执行 编辑 删除
597,发交费通知书及相关函件,123-张三1-发交费通知书及相关函件（2025年10月15日22:55）项目负责人,研发部,项目负责人,2025-10-15 22:55:38,2025-10-22 20:52:08,,已结束,流程图 点评 更多 恢复执行 编辑 删除
585,发交费通知书及相关函件,（2025）京民初 4455号-某某法院-发交费通知书及相关函件（2025年10月15日15:56）项目负责人,研发部,项目负责人,2025-10-15 15:56:17,2025-10-16 10:51:44,,已结束,流程图 点评 更多 恢复执行 编辑 删除
582,发交费通知书及相关函件,（2025）京民初 4455号-某某法院-发交费通知书及相关函件（2025年10月15日15:21）项目负责人,研发部,项目负责人,2025-10-15 15:21:55,,,执行中,流程图 点评 更多 催办 关注 结束 删除
567,发交费通知书及相关函件,（2025）京民初 1113号-某某法院-发交费通知书及相关函件（2025年10月15日13:53）项目负责人,研发部,项目负责人,2025-10-15 13:53:37,,,执行中,流程图 点评 更多 催办 关注 结束 删除
537,发交费通知书及相关函件,案件号2-委托人2-发交费通知书及相关函件（2025年10月12日22:25）项目负责人,研发部,项目负责人,2025-10-12 22:25:22,2025-10-15 17:05:43,,已结束,流程图 点评 更多 恢复执行 编辑 删除
525,发交费通知书及相关函件,发交费通知书及相关函件（2025年10月12日21:38）项目负责人,研发部,项目负责人,2025-10-12 21:38:14,2025-10-12 22:00:33,,已结束,流程图 点评 更多 恢复执行 编辑 删除
