流水号,流程类型,工作名称/文号,发起部门,发起人,开始时间,结束时间,公共附件,状态,操作
791,材料接收与返还,诉（2025）-某某法院-材料接收与返还（2026年02月27日09:36）项目负责人,研发部,项目负责人,2026-02-27 09:36:37,,,执行中,流程图 点评 更多 催办 关注 结束 删除
713,材料接收与返还,--材料接收与返还（2025年12月14日20:38）项目负责人,研发部,项目负责人,2025-12-14 20:38:09,,,执行中,流程图 点评 更多 催办 关注 结束 删除
712,材料接收与返还,--材料接收与返还（2025年12月14日20:34）项目负责人,研发部,项目负责人,2025-12-14 20:34:53,,,执行中,流程图 点评 更多 催办 关注 结束 删除
711,材料接收与返还,{案件号}|[1]-{委托人}|[1]-材料接收与返还（2025年12月14日20:30）项目负责人,研发部,项目负责人,2025-12-14 20:30:37,,,执行中,流程图 点评 更多 催办 关注 结束 删除
709,材料接收与返还,{案件号}|[1]-{委托人}|[1]-材料接收与返还（2025年12月14日20:12）项目负责人,研发部,项目负责人,2025-12-14 20:12:00,,,执行中,流程图 点评 更多 催办 关注 结束 删除
706,材料接收与返还,as-qaw-材料接收与返还（2025年11月27日21:03）项目负责人,研发部,项目负责人,2025-11-27 21:03:24,,,执行中,流程图 点评 更多 催办 关注 结束 删除
651,材料接收与返还,123-张三2-材料接收与返还（2025年10月29日22:32）项目负责人,研发部,项目负责人,2025-10-29 22:32:15,2025-10-29 23:00:06,,已结束,流程图 点评 更多 恢复执行 编辑 删除
643,材料接收与返还,-张三1-材料接收与返还（2025年10月22日20:59）项目负责人,研发部,项目负责人,2025-10-22 20:59:26,2025-10-29 22:19:23,,已结束,流程图 点评 更多 恢复执行 编辑 删除
638,材料接收与返还,{案件号}|[2]-{委托人}|[2]-材料接收与返还（2025年10月22日20:38）项目负责人,研发部,项目负责人,2025-10-22 20:38:43,2025-10-22 20:52:08,,已结束,流程图 点评 更多 恢复执行 编辑 删除
614,材料接收与返还,（2025）京民初 4455号-某某法院-材料接收与返还（2025年10月16日15:29）项目负责人,研发部,项目负责人,2025-10-16 15:29:29,2025-10-16 15:52:42,,已结束,流程图 点评 更多 恢复执行 编辑 删除
594,材料接收与返还,（2025）京民初 4455号-某某法院-材料接收与返还（2025年10月15日17:23）项目负责人,研发部,项目负责人,2025-10-15 17:23:07,,,执行中,流程图 点评 更多 催办 关注 结束 删除
578,材料接收与返还,（2025）京民初 1113号-某某法院-材料接收与返还（2025年10月15日14:49）项目负责人,研发部,项目负责人,2025-10-15 14:49:40,,,执行中,流程图 点评 更多 催办 关注 结束 删除
