流水号,流程类型,工作名称/文号,发起部门,发起人,开始时间,结束时间,公共附件,状态,操作
812,用章申请表,-档案管理员-用章申请表（2026年03月03日14:47）档案管理员,研发部,档案管理员,2026-03-03 14:47:19,2026-03-03 14:47:31,,已结束,流程图 点评 更多 恢复执行 编辑 删除
808,用章申请表,-档案管理员-用章申请表（2026年03月03日13:40）档案管理员,研发部,档案管理员,2026-03-03 13:40:23,2026-03-03 13:40:53,,已结束,流程图 点评 更多 恢复执行 编辑 删除
804,用章申请表,-档案管理员-用章申请表（2026年03月03日11:06）档案管理员,研发部,档案管理员,2026-03-03 11:06:19,2026-03-03 11:06:43,,已结束,流程图 点评 更多 恢复执行 编辑 删除
802,用章申请表,-档案管理员-用章申请表（2026年02月28日17:09）档案管理员,研发部,档案管理员,2026-02-28 17:09:09,2026-02-28 17:09:20,,已结束,流程图 点评 更多 恢复执行 编辑 删除
796,用章申请表,-档案管理员-用章申请表（2026年02月27日14:20）档案管理员,研发部,档案管理员,2026-02-27 14:20:44,2026-02-27 14:20:54,,已结束,流程图 点评 更多 恢复执行 编辑 删除
790,用章申请表,-档案管理员-用章申请表（2026年02月27日09:32）档案管理员,研发部,档案管理员,2026-02-27 09:32:34,2026-02-27 09:36:21,,已结束,流程图 点评 更多 恢复执行 编辑 删除
787,用章申请表,{申请文件名称}|[1]-{申请人}|[1]-用章申请表（2026年02月09日16:43）档案管理员,研发部,档案管理员,2026-02-09 16:43:12,,,执行中,流程图 点评 更多 催办 关注 结束 删除
785,用章申请表,-档案管理员-用章申请表（2026年02月09日16:17）档案管理员,研发部,档案管理员,2026-02-09 16:17:14,2026-02-09 16:17:59,,已结束,流程图 点评 更多 恢复执行 编辑 删除
745,用章申请表,-档案管理员-用章申请表（2026年01月22日11:14）档案管理员,研发部,档案管理员,2026-01-22 11:14:34,2026-01-22 11:15:18,,已结束,流程图 点评 更多 恢复执行 编辑 删除
742,用章申请表,-档案管理员-用章申请表（2026年01月21日17:15）档案管理员,研发部,档案管理员,2026-01-21 17:15:15,2026-01-21 17:16:39,,已结束,流程图 点评 更多 恢复执行 编辑 删除
740,用章申请表,-档案管理员-用章申请表（2026年01月21日15:36）档案管理员,研发部,档案管理员,2026-01-21 15:36:41,2026-01-21 16:50:32,,已结束,流程图 点评 更多 恢复执行 编辑 删除
680,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年11月03日20:15）档案管理员,研发部,档案管理员,2025-11-03 20:15:08,2025-11-03 20:15:13,,已结束,流程图 点评 更多 恢复执行 编辑 删除
667,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月30日23:29）档案管理员,研发部,档案管理员,2025-10-30 23:29:23,2025-10-30 23:30:03,,已结束,流程图 点评 更多 恢复执行 编辑 删除
661,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月30日21:40）档案管理员,研发部,档案管理员,2025-10-30 21:40:27,2025-10-30 21:41:21,,已结束,流程图 点评 更多 恢复执行 编辑 删除
656,用章申请表,{申请文件名称}|[2]-{申请人}|[2]-用章申请表（2025年10月29日23:01）档案管理员,研发部,档案管理员,2025-10-29 23:01:47,2025-10-29 23:02:13,,已结束,流程图 点评 更多 恢复执行 编辑 删除
