流水号,流程类型,工作名称/文号,发起部门,发起人,开始时间,结束时间,公共附件,状态,操作
813,编制内部质量控制文件,00-00-编制内部质量控制文件（2026年03月03日14:54）项目辅助人,研发部,项目辅助人,2026-03-03 14:54:21,,新建 Microsoft Word 文档.pdf 阅读,执行中,流程图 点评 更多 催办 关注 结束 删除
803,编制内部质量控制文件,1111-111-编制内部质量控制文件（2026年03月03日10:51）项目辅助人,研发部,项目辅助人,2026-03-03 10:51:58,2026-03-03 13:44:49,,已结束,流程图 点评 更多 恢复执行 编辑 删除
786,编制内部质量控制文件,（2026）京民初 0001号-北京市人民法院-编制内部质量控制文件（2026年02月09日16:19）项目辅助人,研发部,项目辅助人,2026-02-09 16:19:32,,,执行中,流程图 点评 更多 催办 关注 结束 删除
741,编制内部质量控制文件,2025内01213-委托人-编制内部质量控制文件（2026年01月21日17:11）项目辅助人,研发部,项目辅助人,2026-01-21 17:11:04,2026-01-22 11:36:17,,已结束,流程图 点评 更多 恢复执行 编辑 删除
681,编制内部质量控制文件,{案件号}|[2]-{委托人}|[2]-编制内部质量控制文件（2025年11月03日20:15）项目辅助人,研发部,项目辅助人,2025-11-03 20:15:52,,,执行中,流程图 点评 更多 催办 关注 结束 删除
642,编制内部质量控制文件,{案件号}|[2]-{委托人}|[2]-编制内部质量控制文件（2025年10月22日20:53）项目辅助人,研发部,项目辅助人,2025-10-22 20:53:34,,,执行中,流程图 点评 更多 催办 关注 结束 删除
632,编制内部质量控制文件,{案件号}|[2]-{委托人}|[2]-编制内部质量控制文件（2025年10月22日19:32）项目辅助人,研发部,项目辅助人,2025-10-22 19:32:13,2025-10-22 20:52:08,,已结束,流程图 点评 更多 恢复执行 编辑 删除
623,编制内部质量控制文件,{案件号}|[2]-{委托人}|[2]-编制内部质量控制文件（2025年10月16日16:09）项目辅助人,研发部,项目辅助人,2025-10-16 16:09:11,2025-10-16 16:47:15,,已结束,流程图 点评 更多 恢复执行 编辑 删除
611,编制内部质量控制文件,{案件号}|[2]-{委托人}|[2]-编制内部质量控制文件（2025年10月16日14:24）项目辅助人,研发部,项目辅助人,2025-10-16 14:24:35,2025-10-16 15:52:42,,已结束,流程图 点评 更多 恢复执行 编辑 删除
588,编制内部质量控制文件,{案件号}|[2]-{委托人}|[2]-编制内部质量控制文件（2025年10月15日16:29）项目辅助人,研发部,项目辅助人,2025-10-15 16:29:35,2025-10-16 10:51:44,,已结束,流程图 点评 更多 恢复执行 编辑 删除
539,编制内部质量控制文件,{案件号}|[2]-{委托人}|[2]-编制内部质量控制文件（2025年10月12日22:27）项目辅助人,研发部,项目辅助人,2025-10-12 22:27:59,2025-10-15 17:05:43,,已结束,流程图 点评 更多 恢复执行 编辑 删除
527,编制内部质量控制文件,编制内部质量控制文件（2025年10月12日21:42）项目辅助人,研发部,项目辅助人,2025-10-12 21:42:35,2025-10-12 22:00:33,,已结束,流程图 点评 更多 恢复执行 编辑 删除
