流水号,流程类型,工作名称/文号,发起部门,发起人,开始时间,结束时间,公共附件,状态,操作
777,案件暂停,京民初 1113号-案件暂停（2026年02月07日16:11）项目负责人,研发部,项目负责人,2026-02-07 16:11:47,2026-02-07 16:48:23,,已结束,流程图 点评 更多 恢复执行 编辑 删除
776,案件暂停,案件号-案件暂停（2026年02月07日14:50）项目负责人,研发部,项目负责人,2026-02-07 14:50:45,2026-02-07 15:38:57,,已结束,流程图 点评 更多 恢复执行 编辑 删除
775,案件暂停,-案件暂停（2026年02月07日14:37）项目负责人,研发部,项目负责人,2026-02-07 14:37:12,,,执行中,流程图 点评 更多 催办 关注 结束 删除
772,案件暂停,（2026年02月07日14:29）项目负责人,研发部,项目负责人,2026-02-07 14:29:35,,,执行中,流程图 点评 更多 催办 关注 结束 删除
769,案件暂停,案件暂停（2026年02月07日14:14）项目负责人,研发部,项目负责人,2026-02-07 14:14:33,,,执行中,流程图 点评 更多 催办 关注 结束 删除
767,案件暂停,案件暂停（2026年02月07日14:12）项目负责人,研发部,项目负责人,2026-02-07 14:12:25,,,执行中,流程图 点评 更多 催办 关注 结束 删除
766,案件暂停,--案件暂停（2026年02月07日11:41）项目负责人,研发部,项目负责人,2026-02-07 11:41:35,2026-02-07 11:43:24,,已结束,流程图 点评 更多 恢复执行 编辑 删除
763,案件暂停,--案件暂停（2026年02月07日11:02）项目负责人,研发部,项目负责人,2026-02-07 11:02:25,2026-02-07 11:14:35,,已结束,流程图 点评 更多 恢复执行 编辑 删除
762,案件暂停,--案件暂停（2026年02月04日22:00）项目负责人,研发部,项目负责人,2026-02-04 22:00:55,2026-02-04 22:01:25,,已结束,流程图 点评 更多 恢复执行 编辑 删除
759,案件暂停,--案件暂停（2026年02月04日21:57）项目负责人,研发部,项目负责人,2026-02-04 21:57:21,2026-02-07 13:58:51,,已结束,流程图 点评 更多 恢复执行 编辑 删除
