流水号,流程类型,工作名称/文号,发起部门,发起人,开始时间,结束时间,公共附件,状态,操作
819,收到委托书,23-23-收到委托书（2026年06月12日12:21）系统管理员,综合办,系统管理员,2026-06-12 12:21:41,,,执行中,流程图 点评 更多 催办 关注 结束 删除
818,收到委托书,2-2-收到委托书（2026年06月12日12:20）系统管理员,综合办,系统管理员,2026-06-12 12:20:08,,,执行中,流程图 点评 更多 催办 关注 结束 删除
817,现场勘验,{案件号}|[1]-{委托人}|[1]-现场勘验（2026年06月12日12:11）系统管理员,综合办,系统管理员,2026-06-12 12:11:25,,,执行中,流程图 点评 更多 催办 关注 结束 删除
816,发交费通知书及相关函件,qe-我去额外企鹅-发交费通知书及相关函件（2026年06月10日20:21）项目负责人,研发部,项目负责人,2026-06-10 20:21:10,,,执行中,流程图 点评 更多 催办 关注 结束 删除
815,收到委托书,{案件号}|[1]-{委托人}|[1]-收到委托书（2026年06月10日20:15）项目负责人,研发部,项目负责人,2026-06-10 20:15:47,,,执行中,流程图 点评 更多 催办 关注 结束 删除
814,收到委托书,qe-我去额外企鹅-收到委托书（2026年06月10日20:14）项目负责人,研发部,项目负责人,2026-06-10 20:14:56,,,执行中,流程图 点评 更多 催办 关注 结束 删除
813,编制内部质量控制文件,00-00-编制内部质量控制文件（2026年03月03日14:54）项目辅助人,研发部,项目辅助人,2026-03-03 14:54:21,,新建 Microsoft Word 文档.pdf 阅读,执行中,流程图 点评 更多 催办 关注 结束 删除
812,用章申请表,-档案管理员-用章申请表（2026年03月03日14:47）档案管理员,研发部,档案管理员,2026-03-03 14:47:19,2026-03-03 14:47:31,,已结束,流程图 点评 更多 恢复执行 编辑 删除
811,发交费通知书及相关函件,00-00-发交费通知书及相关函件（2026年03月03日14:42）项目负责人,研发部,项目负责人,2026-03-03 14:42:54,,,执行中,流程图 点评 更多 催办 关注 结束 删除
810,收到委托书,00-00-收到委托书（2026年03月03日13:52）档案管理员,研发部,档案管理员,2026-03-03 13:52:13,,,执行中,流程图 点评 更多 催办 关注 结束 删除
809,归档,--归档（2026年03月03日13:42）档案管理员,研发部,档案管理员,2026-03-03 13:42:01,2026-03-03 13:44:49,,已结束,流程图 点评 更多 恢复执行 编辑 删除
808,用章申请表,-档案管理员-用章申请表（2026年03月03日13:40）档案管理员,研发部,档案管理员,2026-03-03 13:40:23,2026-03-03 13:40:53,,已结束,流程图 点评 更多 恢复执行 编辑 删除
807,出具鉴定意见书,--出具鉴定意见书（2026年03月03日13:36）项目负责人,研发部,项目负责人,2026-03-03 13:36:41,2026-03-03 13:44:49,,已结束,流程图 点评 更多 恢复执行 编辑 删除
806,鉴定意见书送审稿编制,--鉴定意见书送审稿编制（2026年03月03日11:27）项目负责人,研发部,项目负责人,2026-03-03 11:27:07,2026-03-03 13:44:49,,已结束,流程图 点评 更多 恢复执行 编辑 删除
805,现场勘验,1111-111-现场勘验（2026年03月03日11:08）项目辅助人,研发部,项目辅助人,2026-03-03 11:08:16,2026-03-03 13:44:49,,已结束,流程图 点评 更多 恢复执行 编辑 删除
804,用章申请表,-档案管理员-用章申请表（2026年03月03日11:06）档案管理员,研发部,档案管理员,2026-03-03 11:06:19,2026-03-03 11:06:43,,已结束,流程图 点评 更多 恢复执行 编辑 删除
